File Name,Average Rating,Total Count
html/26793708.html,3.6443,149
html/30278927.html,3.9477,172
html/19460752.html,4.1087,92
html/30022408.html,3.7164,67
html/31197971.html,3.8214,56
html/31198097.html,3.7164,67
html/30278925.html,3.8627,153
html/28218496.html,3.9333,30
html/20140888.html,3.7222,18
html/30680971.html,4.3448,29
html/28250420.html,3.4286,14
html/30083046.html,4.3448,29
html/30897521.html,4.4103,39
html/31136402.html,4.0154,65
html/28758874.html,3.1538,13
html/30897520.html,4.3448,29
html/20127140.html,2.8,10
html/27377724.html,4.125,16
html/31137032.html,3.125,72
html/28298952.html,4.3333,9
html/19070448.html,3.75,8
html/19089654.html,4,8
html/20355094.html,3.75,8
html/28187928.html,2.875,8
html/28182528.html,0,0
html/30022404.html,0,0
html/28250422.html,2,8
html/20164216.html,3,7
html/18694386.html,3.5714,7
html/19269956.html,3.1429,7
html/20246940.html,4.2857,7
html/20246964.html,3.2857,7
html/28084670.html,3.5714,7
html/29613418.html,4,9
html/29827528.html,3.3333,9
html/30716312.html,4.2857,14
html/31136408.html,3.9425,174
html/31137033.html,0,0
html/31137446.html,3.7,10
html/31229993.html,3.3333,9
html/26814728.html,4.1667,6
html/20355092.html,4.1667,6
html/28182530.html,4.2857,7
html/28250404.html,2.8333,6
html/30278928.html,2.8889,9
html/19206810.html,4.2,5
html/20246936.html,4.4,5
html/28182506.html,2.8,5
html/19222288.html,4.2,5
html/19959892.html,2.8,5
html/20127132.html,3.2,5
html/20127138.html,3.4,5
html/29657444.html,3.1538,13
html/30082913.html,3.5714,7
html/30710603.html,3.5714,7
html/30913568.html,3.5714,7
html/30913571.html,3.7143,7
html/22133884.html,3.6364,11
html/21229632.html,0,0
html/21229650.html,3.5714,7
html/20112644.html,3.6,5
html/30696197.html,3.6,5
html/28759656.html,0,0
html/18694324.html,0,0
html/18694330.html,0,0
html/18705722.html,0,0
html/18713288.html,0,0
html/18727148.html,0,0
html/18729350.html,0,0
html/19070444.html,0,0
html/19072436.html,0,0
html/19088400.html,0,0
html/19088402.html,0,0
html/19092578.html,0,0
html/19109778.html,0,0
html/19109782.html,0,0
html/19110232.html,0,0
html/19149786.html,0,0
html/19149788.html,0,0
html/19149792.html,0,0
html/19149794.html,0,0
html/19149796.html,0,0
html/19149798.html,0,0
html/19149802.html,0,0
html/19190870.html,0,0
html/19190878.html,0,0
html/19190880.html,0,0
html/19190882.html,0,0
html/19190884.html,0,0
html/19206784.html,0,0
html/19206788.html,0,0
html/19206790.html,0,0
html/19222298.html,0,0
html/19222300.html,0,0
html/19222302.html,0,0
html/19222306.html,0,0
html/19222310.html,0,0
html/19222316.html,0,0
html/19222318.html,0,0
html/19222320.html,0,0
html/19232854.html,0,0
html/19232906.html,0,0
html/19247574.html,0,0
html/19298846.html,0,0
html/19460700.html,0,0
html/19460702.html,0,0
html/19460704.html,0,0
html/19462028.html,0,0
html/19462032.html,0,0
html/19462034.html,0,0
html/19462040.html,0,0
html/19479212.html,0,0
html/19600910.html,0,0
html/19600914.html,0,0
html/19601146.html,0,0
html/19929808.html,0,0
html/19957050.html,0,0
html/19959884.html,0,0
html/19959902.html,0,0
html/20002746.html,0,0
html/20004418.html,0,0
html/20004422.html,0,0
html/20004424.html,0,0
html/20077958.html,0,0
html/20077962.html,0,0
html/20077964.html,0,0
html/20109612.html,0,0
html/20109618.html,0,0
html/20109620.html,0,0
html/20109914.html,0,0
html/20110310.html,0,0
html/20110532.html,0,0
