URL,Rating,Review Count
https://www.amazon.in/dp/B0D6WGVZBZ,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0D9K748P1,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0DFWSTTQF,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0DHPGX8S5,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0DJ93TH22,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0DJ9286RY,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0DJ949L85,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0D9K4X1RP,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B0D9K6X4WF,3.8 out of 5,26 global ratings
https://www.amazon.in/dp/B098QFVLD4?ref=myi_title_dp,3.1 out of 5,25 global ratings
https://www.amazon.in/dp/B096V7TTTG?ref=myi_title_dp,3 out of 5,21 global ratings
https://www.amazon.in/dp/B0BS6DL82Y?ref=myi_title_dp,3.8 out of 5,20 global ratings
https://www.amazon.in/dp/B0BS6FBHFB,3.8 out of 5,20 global ratings
https://www.amazon.in/dp/B0B4W7FPVN?ref=myi_title_dp,2.8 out of 5,16 global ratings
https://www.amazon.in/dp/B0C3ZWW6GS,3.4 out of 5,16 global ratings
https://www.amazon.in/dp/B0CK8GZ6D5,3.4 out of 5,16 global ratings
https://www.amazon.in/dp/B0D1Y5459D,3.3 out of 5,15 global ratings
https://www.amazon.in/dp/B08V88G3SX?ref=myi_title_dp,2.8 out of 5,15 global ratings
https://www.amazon.in/dp/B0D7SMPQ17?ref=myi_title_dp,3.9 out of 5,15 global ratings
https://www.amazon.in/dp/B09TP3VRX3,3.2 out of 5,14 global ratings
https://www.amazon.in/dp/B0B972GDT9?ref=myi_title_dp,3.7 out of 5,13 global ratings
https://www.amazon.in/dp/B0CKFJF53R,3.7 out of 5,13 global ratings
https://www.amazon.in/dp/B0CKFJFPRL,3.7 out of 5,13 global ratings
https://www.amazon.in/dp/B0B93M8Q4Z?ref=myi_title_dp,2.9 out of 5,13 global ratings
https://www.amazon.in/dp/B0BVHTCG1Z,3.7 out of 5,13 global ratings
https://www.amazon.in/dp/B09XTRCC2B?ref=myi_title_dp,3.7 out of 5,13 global ratings
