URL,Ratings,Reviews,Product Rating,Brand,Price,XS,S,M,L,XL,XXL
https://www.flipkart.com/product/p/itme?pid=DREH543GSCFYANK2,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH546TGGMKEY9S,1180 ,131 ,3.7,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH543GYTRYJQUZ,1180 ,131 ,3.7,FashFun,449,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREH3FRPGTQEY3ZZ,1180 ,131 ,3.7,FashFun,499,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG2MJZVZN9V2QB,947 ,68 ,3.8,Serein,339,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG2MJYVPJZG5BG,947 ,68 ,3.8,Serein,339,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGFKGE5Z3MXZT7W,884 ,99 ,3.9,Serein,389,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=TOPGXN8GG9XHB5QF,802 ,59 ,4.3,FashFun,609,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPHYVXUHQXVKMHF,802 ,59 ,4.3,FashFun,609,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPH49YKAZY2KZ7F,802 ,59 ,4.3,FashFun,609,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=KRTFGWCEDXC856HR,642 ,95 ,3.8,Serein,425,Yes,Yes,Yes,Yes,Yes,Yes
https://www.flipkart.com/product/p/itme?pid=DREFWJHM7HCGZHZV,592 ,67 ,4.2,Serein,339,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=RUGG2MJXPE5ZUZGX,584 ,58 ,3.4,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREG3ARFSKN29PBH,520 ,53 ,3.8,Serein,339,Yes,Yes,Yes,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGMFNMWFFM6HZQ,449,36,4,FashFun,489,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGGCVTPFTTXEUG,339,29,3.6,FashFun,489,Yes,Yes,Yes,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGMFKYVPHEYX4S,330,31,3.7,FashFun,399,#N/A,#N/A,#N/A,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGUNM4ACGGX66N,330,31,3.7,FashFun,399,#N/A,#N/A,#N/A,Yes,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGDF7GAQRKHFMF,329 ,24 ,3.7,Serein,339,Yes,Yes,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGRMFKNDWMDGMK,284 ,23 ,4,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTHFSFNTQPWB3VW,284 ,23 ,4,FashFun,299,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=JUMG7K6A6K5W28BU,276 ,21 ,4,Serein,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGDF7GJXD8FVAR,270 ,24 ,3.9,Serein,339,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGS49PENQA9G4D,284,11,3.7,FashFun,489,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGJ2M5982GEHQF,256 ,26 ,3.9,FashFun,599,Yes,Yes,Yes,#N/A,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTGWGXQSZHANXSH,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFYT7DQRHEG9Y,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFYT7SFXJHH2F,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTHFZNUGZD3DXAD,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH48ZQ2JYWEUVC,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53Y8V5HGFKCP,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XCMAKN5HFU,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XCY5NPPTAP,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH53XC8JTTRHYV,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH4YKNTXEGRMRH,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=AZTH3J83PP8R5WRH,255,28,4,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPGZTYG5F9PQGAC,247 ,23 ,4.1,FashFun,429,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=TOPHFYQQGFJYGNFD,247 ,23 ,4.1,FashFun,429,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=SHTGWHAXGH3VXK2T,235 ,27 ,3.8,FashFun,399,Yes,Yes,Yes,Yes,Yes,#N/A
https://www.flipkart.com/product/p/itme?pid=DREGKGYAFZGNEQZR,190,18,3.7,FashFun,489,#N/A,Yes,Yes,Yes,#N/A,#N/A
